Gun_Variant,Accuracy,Barrel_Life_rounds,Caliber_Length,Compatible_Shells,Muzzle_Velocity_fps,Nation,Performance_Category,Period,Upgrade_Features,Upgrade_Type
"13.4""/52 Model 1912 Enhanced",Enhanced,320,"13.4""/52","13.4"" M1912 AP (https://www.notion.so/2750ddf7bbe581d89d91de1591b4f246)",2675,🇫🇷 French,Balanced,1919-1920,"Improved propellant, better metallurgy",Enhanced Metallurgy
"13.4""/52 Model 1916",Standard,290,"13.4""/52","13.4"" M1912 AP (https://www.notion.so/2750ddf7bbe581d89d91de1591b4f246)",2657,🇫🇷 French,Balanced,1917-1921,Lyon cancelled design,Standard
"13.4""/52 Model 1916 Quad",Enhanced,340,"13.4""/52","13.4"" M1912 AP (https://www.notion.so/2750ddf7bbe581d89d91de1591b4f246)",2640,🇫🇷 French,Balanced,1918-1921,"Quad mount optimization, balanced charges",Enhanced Metallurgy
"13.4""/52 Model 1912 Moderne",Superior,380,"13.4""/52","13.4"" M1912 AP (https://www.notion.so/2750ddf7bbe581d89d91de1591b4f246)",2640,🇫🇷 French,Long Life,Projected 1925,"Extended range, improved accuracy",Enhanced Metallurgy
"14.96""/50 Model 1936",Standard,280,"14.96""/50","14.96"" M1935 AP (https://www.notion.so/2750ddf7bbe58151b8ecfcbbae274249), 14.96"" Mle 1936 HE (https://www.notion.so/2750ddf7bbe581389188c9dd452ce3f4), 14.96"" Mle 1936 AP (https://www.notion.so/2750ddf7bbe58162bfbdd33909e02b6d), 14.96"" Mle 1936 Jean Bart AP (https://www.notion.so/2750ddf7bbe581aabcfefa1c6e1ce239), 14.96"" Mle 1936 AP (https://www.notion.so/2750ddf7bbe58162bfbdd33909e02b6d), 14.96"" Mle 1936 Jean Bart HE (https://www.notion.so/2750ddf7bbe5810e8cf6e2565600d538)",2723,🇫🇷 French,High Velocity,1940-1942,Richelieu original quad mount,Standard
"13.4""/52 Model 1912",Standard,280,"13.4""/52","13.4"" M1912 AP (https://www.notion.so/2750ddf7bbe581d89d91de1591b4f246)",2657,🇫🇷 French,Balanced,1914-1920,Normandie original specification,Standard
"14.96""/50 Model 1936 Improved",Enhanced,350,"14.96""/50","14.96"" M1935 AP (https://www.notion.so/2750ddf7bbe58151b8ecfcbbae274249), 14.96"" Mle 1936 HE (https://www.notion.so/2750ddf7bbe581389188c9dd452ce3f4), 14.96"" Mle 1936 AP (https://www.notion.so/2750ddf7bbe58162bfbdd33909e02b6d), 14.96"" Mle 1936 Jean Bart AP (https://www.notion.so/2750ddf7bbe581aabcfefa1c6e1ce239), 14.96"" Mle 1936 AP (https://www.notion.so/2750ddf7bbe58162bfbdd33909e02b6d), 14.96"" Mle 1936 Jean Bart HE (https://www.notion.so/2750ddf7bbe5810e8cf6e2565600d538)",2690,🇫🇷 French,High Velocity,1943-1950,"Improved accuracy, extended barrel life",Enhanced Metallurgy
"13.4""/52 Model 1916 Super",Superior,310,"13.4""/52","13.4"" M1912 AP (https://www.notion.so/2750ddf7bbe581d89d91de1591b4f246)",2695,🇫🇷 French,High Velocity,Planned 1920,Maximum performance variant,Enhanced Metallurgy
"13""/50 Model 1931",Enhanced,300,"13""/50","13"" Mle 1930* AP (https://www.notion.so/2750ddf7bbe581be9fb6e38ee89f1a65), 13"" Mle 1930* HE (https://www.notion.so/2750ddf7bbe581998f4be2febb4d61dc)",2690,🇫🇷 French,Balanced,1937-1945,Dunkerque quad mount innovation,Standard
"15""/47 SK C/34 Mod",Enhanced,400,"15""/47","15"" SK C/34 AP",2700,🇩🇪 German,Long Life,1941,"Improved steel, better metallurgy",Enhanced Metallurgy
